Date,Open,High,Low,Close,Adj Close,Volume
12-08-2020,11289.00,11322.00,11242.65,11308.40,11308.40,609900
13-08-2020,11334.85,11359.30,11269.95,11300.45,11300.45,562400
14-08-2020,11353.30,11366.25,11111.45,11178.40,11178.40,645100
17-08-2020,11248.90,11267.10,11144.50,11247.10,11247.10,634000
18-08-2020,11259.80,11401.70,11253.15,11385.35,11385.35,579200
19-08-2020,11452.15,11460.35,11394.10,11408.40,11408.40,626200
20-08-2020,11317.45,11361.45,11289.80,11312.20,11312.20,791600
21-08-2020,11409.65,11418.50,11362.20,11371.60,11371.60,668700
24-08-2020,11412.00,11497.25,11410.65,11466.45,11466.45,532900
25-08-2020,11513.10,11525.90,11423.35,11472.25,11472.25,638200
26-08-2020,11512.85,11561.75,11461.85,11549.60,11549.60,743400
27-08-2020,11609.30,11617.35,11540.60,11559.25,11559.25,719800
28-08-2020,11602.95,11686.05,11589.40,11647.60,11647.60,807000
31-08-2020,11777.55,11794.25,11325.85,11387.50,11387.50,1371800
01-09-2020,11464.30,11553.55,11366.90,11470.25,11470.25,783800
02-09-2020,11478.55,11554.75,11430.40,11535.00,11535.00,593500
03-09-2020,11566.20,11584.95,11507.65,11527.45,11527.45,607100
04-09-2020,11354.40,11452.05,11303.65,11333.85,11333.85,681300
07-09-2020,11359.60,11381.15,11251.70,11355.05,11355.05,560300
08-09-2020,11378.55,11437.25,11290.45,11317.35,11317.35,572200
09-09-2020,11218.60,11298.15,11185.15,11278.00,11278.00,728900
10-09-2020,11363.30,11464.05,11327.40,11449.25,11449.25,679400
11-09-2020,11447.80,11493.50,11419.90,11464.45,11464.45,554800
14-09-2020,11540.15,11568.90,11383.55,11440.05,11440.05,642300
15-09-2020,11487.20,11535.95,11442.25,11521.80,11521.80,506700
16-09-2020,11538.45,11618.10,11516.75,11604.55,11604.55,527800
17-09-2020,11539.40,11587.20,11498.50,11516.10,11516.10,0
18-09-2020,11584.10,11584.10,11446.10,11504.95,11504.95,764200
21-09-2020,11503.80,11535.25,11218.50,11250.55,11250.55,602900
22-09-2020,11301.75,11302.20,11084.65,11153.65,11153.65,672200
23-09-2020,11258.75,11259.55,11024.40,11131.85,11131.85,714900
24-09-2020,11011.00,11015.30,10790.20,10805.55,10805.55,706100
25-09-2020,10910.40,11072.60,10854.85,11050.25,11050.25,559600
28-09-2020,11140.85,11239.35,11099.85,11227.55,11227.55,472800
29-09-2020,11288.60,11305.40,11181.00,11222.40,11222.40,498300
30-09-2020,11244.45,11295.40,11184.55,11247.55,11247.55,499300
01-10-2020,11364.45,11428.60,11347.05,11416.95,11416.95,447700
05-10-2020,11487.80,11578.05,11452.30,11503.35,11503.35,530600
06-10-2020,11603.45,11680.30,11564.30,11662.40,11662.40,561400
07-10-2020,11679.25,11763.05,11629.35,11738.85,11738.85,513400
08-10-2020,11835.40,11905.70,11791.15,11834.60,11834.60,608800
09-10-2020,11852.05,11938.60,11805.20,11914.20,11914.20,611100
12-10-2020,11973.55,12022.05,11867.20,11930.95,11930.95,522600
13-10-2020,11934.65,11988.20,11888.90,11934.50,11934.50,458300
14-10-2020,11917.40,11997.20,11822.15,11971.05,11971.05,569200
15-10-2020,12023.45,12025.45,11661.30,11680.35,11680.35,608900
16-10-2020,11727.40,11789.75,11667.85,11762.45,11762.45,555800
19-10-2020,11879.20,11898.25,11820.40,11873.05,11873.05,541400
20-10-2020,11861.00,11949.25,11837.25,11896.80,11896.80,453600
21-10-2020,11958.55,12018.65,11775.75,11937.65,11937.65,623700
22-10-2020,11890.00,11939.55,11823.45,11896.45,11896.45,544900
23-10-2020,11957.90,11974.55,11908.75,11930.35,11930.35,502300
26-10-2020,11937.40,11942.85,11711.70,11767.75,11767.75,519800
27-10-2020,11807.10,11899.05,11723.00,11889.40,11889.40,616300
28-10-2020,11922.60,11929.40,11684.85,11729.60,11729.60,704000
29-10-2020,11633.30,11744.15,11606.45,11670.80,11670.80,555000
30-10-2020,11678.45,11748.95,11535.45,11642.40,11642.40,553700
02-11-2020,11697.35,11725.65,11557.40,11669.15,11669.15,568400
03-11-2020,11734.45,11836.20,11723.30,11813.50,11813.50,674300
04-11-2020,11783.35,11929.65,11756.40,11908.50,11908.50,667300
05-11-2020,12062.40,12131.10,12027.60,12120.30,12120.30,632500
06-11-2020,12156.65,12280.40,12131.85,12263.55,12263.55,576800
09-11-2020,12399.40,12474.05,12367.35,12461.05,12461.05,553400
10-11-2020,12556.40,12643.90,12475.25,12631.10,12631.10,847500
11-11-2020,12680.60,12769.75,12571.10,12749.15,12749.15,880500
12-11-2020,12702.15,12741.15,12624.85,12690.80,12690.80,622000
13-11-2020,12659.70,12735.95,12607.70,12719.95,12719.95,513900
17-11-2020,12932.50,12934.05,12797.10,12874.20,12874.20,707700
